# Nmax = 7
# L1 L2 L3   u11 u12 u13   u21 u22 u23   u31 u32 u33   (periodicity)
7.2801 8.2576 0.0166   4 1 -6   1 7 5   0 1 1   (1)
7.3485 8.2586 0.0165   7 1 2   2 -5 7   1 2 -2   (1)
7.8740 8.2589 0.0154   5 1 -6   2 7 4   0 1 1   (1)
3.7417 8.2592 0.0324   3 2 1   -3 7 4   1 0 0   (1)
8.0623 8.2593 0.0150   7 4 0   -1 7 5   0 3 2   (1)
6.4031 8.2595 0.0189   6 2 1   -6 1 7   1 1 2   (1)
7.0711 8.2595 0.0171   7 0 -1   3 7 4   2 2 1   (1)
4.5826 8.2606 0.0264   4 1 2   4 2 -7   1 0 3   (1)
6.7823 8.2607 0.0178   6 1 -3   3 6 5   2 2 1   (1)
5.0000 8.2608 0.0242   4 0 3   7 1 -5   1 0 1   (1)
8.1240 8.2618 0.0149   7 4 1   -7 4 4   3 1 0   (1)
6.1644 8.2622 0.0196   5 3 2   1 7 -5   2 1 1   (1)
4.6904 8.2627 0.0258   3 3 -2   4 2 7   1 0 4   (1)
7.0711 8.2632 0.0171   5 -4 3   2 7 4   0 3 1   (1)
5.9161 8.2635 0.0205   5 1 3   2 7 -4   1 1 0   (1)
6.7823 8.2646 0.0178   6 -1 3   3 7 5   1 3 2   (1)
7.2801 8.2656 0.0166   6 4 1   -4 7 2   1 0 0   (1)
6.1644 8.2669 0.0196   3 -5 2   7 4 2   3 1 1   (1)
5.0990 8.2672 0.0237   5 0 1   1 6 6   0 1 1   (1)
7.0000 8.2672 0.0173   6 2 3   -5 6 3   1 1 1   (1)
5.0000 8.2680 0.0242   4 0 3   2 7 -4   1 1 0   (1)
6.4807 8.2707 0.0187   5 -4 1   6 4 5   1 1 1   (1)
6.5574 8.2716 0.0184   5 3 -3   4 2 7   2 1 3   (1)
7.8740 8.2726 0.0154   7 2 -3   7 1 6   1 0 2   (1)
8.0623 8.2732 0.0150   5 -6 2   3 7 4   1 1 1   (1)
5.3852 8.2733 0.0224   5 0 2   -2 4 7   0 1 2   (1)
6.7823 8.2738 0.0178   6 3 1   2 -7 4   1 3 -1   (1)
5.4772 8.2745 0.0221   5 1 2   1 -5 7   2 1 0   (1)
7.2801 8.2748 0.0166   7 2 0   -3 6 5   1 3 2   (1)
7.8740 8.2755 0.0153   7 3 -2   5 3 7   2 1 1   (1)
4.6904 8.2765 0.0258   3 3 2   0 7 -5   1 2 0   (1)
5.8310 8.2765 0.0207   4 3 3   -4 6 5   1 1 1   (1)
6.1644 8.2765 0.0196   3 -5 2   5 2 7   1 2 2   (1)
7.0711 8.2765 0.0171   5 4 3   2 4 -7   1 1 0   (1)
7.1414 8.2771 0.0169   5 -5 1   0 7 6   2 1 3   (1)
5.7446 8.2774 0.0210   5 -2 2   2 7 4   1 1 1   (1)
7.0711 8.2777 0.0171   5 4 3   7 -5 1   2 1 1   (1)
8.1240 8.2783 0.0149   5 5 -4   7 2 5   4 2 1   (1)
3.0000 8.2798 0.0403   2 2 1   4 3 -7   1 1 0   (1)
5.0000 8.2801 0.0242   4 -3 0   3 6 5   3 1 2   (1)
8.1854 8.2805 0.0148   7 3 3   7 2 -6   2 1 2   (1)
7.6811 8.2811 0.0157   7 1 3   -4 2 7   1 0 0   (1)
6.7082 8.2812 0.0180   5 2 -4   7 1 5   2 0 3   (1)
6.1644 8.2812 0.0196   1 1 -6   7 1 7   1 0 2   (1)
3.1623 8.2825 0.0382   3 1 0   5 -7 1   1 0 0   (1)
8.1240 8.2838 0.0149   7 4 1   -6 6 1   0 5 1   (1)
6.4807 8.2851 0.0186   5 1 -4   7 0 5   3 0 2   (1)
7.6811 8.2852 0.0157   5 5 3   7 -4 4   0 1 0   (1)
6.7082 8.2852 0.0180   5 -4 2   4 7 2   2 3 1   (1)
7.3485 8.2854 0.0164   7 2 1   0 5 7   4 0 -1   (1)
6.7823 8.2857 0.0178   6 3 1   7 5 -7   1 0 3   (1)
5.0990 8.2858 0.0237   5 1 0   -2 7 4   1 2 1   (1)
1.7321 8.2865 0.0697   1 1 -1   4 2 7   1 0 4   (1)
5.1962 8.2865 0.0232   5 1 -1   3 4 7   2 1 1   (1)
7.5498 8.2865 0.0160   5 4 -4   7 1 5   1 0 1   (1)
7.8102 8.2869 0.0155   6 3 4   -6 5 3   1 2 2   (1)
7.0000 8.2869 0.0172   6 3 2   -4 2 7   3 1 0   (1)
7.8102 8.2879 0.0154   6 4 3   -7 3 4   0 1 1   (1)
3.6056 8.2881 0.0335   3 0 2   -4 2 7   0 1 5   (1)
7.8740 8.2882 0.0153   6 1 5   -5 6 3   3 0 2   (1)
6.0828 8.2887 0.0198   6 0 1   3 7 5   2 1 1   (1)
7.3485 8.2888 0.0164   7 2 1   -2 7 4   1 0 0   (1)
6.1644 8.2892 0.0196   6 1 1   -3 5 6   1 0 0   (1)
7.6811 8.2893 0.0157   7 -3 1   7 6 0   1 1 0   (1)
7.5498 8.2897 0.0160   5 4 4   7 -5 2   0 3 1   (1)
4.3589 8.2908 0.0277   3 -3 1   1 6 6   1 1 2   (1)
7.8102 8.2908 0.0154   6 4 3   2 -7 4   1 2 0   (1)
7.8740 8.2911 0.0153   6 -1 5   5 7 7   1 3 2   (1)
5.9161 8.2911 0.0204   5 1 3   -4 2 7   1 0 0   (1)
7.1414 8.2913 0.0169   7 1 -1   4 4 7   1 2 4   (1)
6.1644 8.2924 0.0196   5 2 -3   2 4 7   1 1 1   (1)
4.1231 8.2924 0.0292   3 2 -2   4 2 7   2 1 3   (1)
5.8310 8.2924 0.0207   5 3 0   6 -6 1   2 1 0   (1)
7.0000 8.2931 0.0172   6 3 2   5 0 -7   1 1 2   (1)
4.2426 8.2932 0.0284   4 1 1   5 3 -7   2 0 3   (1)
7.2801 8.2941 0.0166   6 1 4   -3 6 5   2 0 1   (1)
4.5826 8.2952 0.0263   4 2 1   2 -7 4   1 1 0   (1)
2.4495 8.2966 0.0492   2 1 1   2 4 -7   1 0 2   (1)
7.3485 8.2966 0.0164   7 1 2   2 7 6   1 1 1   (1)
7.0000 8.2968 0.0172   6 2 -3   5 4 6   1 1 2   (1)
5.0990 8.2974 0.0236   5 1 0   7 -7 1   1 0 0   (1)
7.6811 8.2974 0.0157   7 -3 1   2 7 4   3 2 2   (1)
7.8740 8.2979 0.0153   7 3 2   -4 7 2   2 2 1   (1)
5.3852 8.2983 0.0224   5 0 -2   2 7 4   1 2 1   (1)
5.7446 8.2993 0.0210   4 1 -4   0 7 5   1 3 1   (1)
5.8310 8.2995 0.0207   5 -3 0   2 4 7   2 1 3   (1)
6.0828 8.3001 0.0198   6 1 0   -7 7 2   0 4 1   (1)
3.1623 8.3006 0.0381   3 0 1   -2 4 7   0 1 2   (1)
6.4031 8.3007 0.0188   6 1 2   2 4 -7   3 1 0   (1)
6.4807 8.3009 0.0186   5 1 -4   7 1 5   1 0 4   (1)
3.3166 8.3012 0.0363   3 1 1   5 2 -7   0 0 1   (1)
6.7082 8.3013 0.0180   5 2 4   5 3 -6   1 0 5   (1)
7.6811 8.3015 0.0157   7 1 3   3 5 -6   3 0 2   (1)
7.0711 8.3018 0.0170   5 3 -4   4 2 7   2 1 3   (1)
7.2801 8.3021 0.0165   6 1 4   4 2 -7   1 0 2   (1)
3.7417 8.3023 0.0322   3 2 1   7 0 -6   2 1 0   (1)
7.5498 8.3024 0.0160   5 4 4   2 -7 4   1 0 1   (1)
7.6158 8.3025 0.0158   7 3 0   2 -4 7   4 1 1   (1)
8.0623 8.3029 0.0149   7 0 4   2 7 -4   3 1 1   (1)
8.1240 8.3030 0.0148   7 4 1   -4 7 2   1 0 0   (1)
4.2426 8.3033 0.0284   4 1 -1   6 0 7   1 0 1   (1)
4.3589 8.3035 0.0276   3 1 -3   2 7 4   0 1 1   (1)
5.1962 8.3044 0.0232   5 1 1   6 -7 3   1 1 0   (1)
5.4772 8.3046 0.0220   5 -1 2   1 6 6   2 2 3   (1)
5.8310 8.3049 0.0207   4 3 3   2 4 -7   1 1 0   (1)
5.9161 8.3049 0.0204   5 3 1   4 -7 2   1 2 0   (1)
6.1644 8.3050 0.0195   1 1 -6   4 7 2   1 2 3   (1)
6.4807 8.3052 0.0186   5 4 1   1 -6 6   1 1 0   (1)
6.5574 8.3052 0.0184   5 3 -3   2 4 7   0 1 3   (1)
6.7823 8.3053 0.0178   6 1 3   -4 2 7   1 0 0   (1)
7.1414 8.3054 0.0169   5 1 -5   3 4 7   0 1 3   (1)
7.3485 8.3055 0.0164   7 2 1   -2 4 7   2 1 1   (1)
7.8740 8.3057 0.0153   6 1 5   2 7 -4   1 0 1   (1)
8.1854 8.3057 0.0147   7 3 3   -4 7 2   4 0 1   (1)
8.3066 0.2692 0.4472   7 2 4   3 1 2   0 0 1   (1)
8.3066 0.4504 0.2673   7 2 4   2 1 1   0 1 0   (1)
8.3066 0.4964 0.2425   7 4 2   1 1 0   1 0 1   (1)
8.3066 0.5517 0.2182   7 2 4   2 0 1   0 1 0   (1)
8.3066 0.6594 0.1826   7 2 4   3 1 1   0 0 1   (1)
8.3066 0.7421 0.1622   7 4 2   1 1 1   0 1 2   (1)
8.3066 0.8764 0.1374   7 4 2   0 1 0   3 0 1   (1)
8.3066 0.9089 0.1325   7 2 4   1 1 0   1 0 1   (1)
8.3066 0.9706 0.1240   7 4 2   0 0 1   2 1 0   (1)
8.3066 1.1164 0.1078   7 4 2   4 1 1   0 1 0   (1)
8.3066 1.1357 0.1060   7 4 2   2 0 1   1 1 0   (1)
8.3066 1.2158 0.0990   7 2 4   0 1 1   3 0 1   (1)
8.3066 1.2797 0.0941   7 4 2   1 0 -1   2 1 0   (1)
8.3066 1.3460 0.0894   7 4 2   3 1 2   1 0 1   (1)
8.3066 1.3673 0.0880   7 4 2   -1 1 0   5 0 1   (1)
8.3066 1.3936 0.0864   7 4 2   0 1 -1   1 1 0   (1)
8.3066 1.4091 0.0854   7 2 4   2 2 1   0 1 0   (1)
8.3066 1.4695 0.0819   7 2 4   4 0 1   0 1 1   (1)
8.3066 1.5132 0.0796   7 2 4   2 -1 1   0 1 0   (1)
8.3066 1.5275 0.0788   7 2 4   3 1 0   0 0 1   (1)
8.3066 1.6241 0.0741   7 4 2   1 -1 1   1 1 0   (1)
8.3066 1.7068 0.0705   7 4 2   -2 0 1   1 1 1   (1)
8.3066 1.7279 0.0697   7 2 4   -1 1 1   4 0 1   (1)
8.3066 1.7897 0.0673   7 4 2   2 3 0   2 0 1   (1)
8.3066 1.8257 0.0659   7 4 -2   3 1 1   1 0 1   (1)
8.3066 1.8533 0.0650   7 2 4   3 -1 2   2 1 1   (1)
8.3066 1.8843 0.0639   7 4 2   1 2 -1   1 1 0   (1)
8.3066 1.9891 0.0605   7 4 2   4 0 1   0 1 0   (1)
8.3066 2.0180 0.0597   7 4 2   0 1 2   -1 0 1   (1)
8.3066 2.0607 0.0584   7 4 2   3 2 3   2 1 0   (1)
8.3066 2.1162 0.0569   7 4 2   0 -2 1   1 1 0   (1)
8.3066 2.1468 0.0561   7 4 2   1 3 1   2 -1 0   (1)
8.3066 2.1836 0.0551   7 4 2   3 0 -1   0 1 1   (1)
8.3066 2.2361 0.0538   7 4 2   0 1 -2   2 1 1   (12)
8.3066 2.2522 0.0535   7 4 2   4 1 3   1 0 1   (1)
8.3066 2.3000 0.0523   7 2 4   1 2 -1   1 1 0   (1)
8.3066 2.3744 0.0507   7 2 4   2 3 2   2 0 1   (1)
8.3066 2.3774 0.0506   7 2 4   2 3 1   0 1 0   (1)
8.3066 2.4017 0.0501   7 2 4   3 1 -1   0 0 1   (1)
8.3066 2.4107 0.0499   7 4 2   -3 1 0   0 3 1   (1)
8.3066 2.4465 0.0492   7 4 2   -1 1 2   1 1 1   (1)
8.3066 2.4818 0.0485   7 2 4   2 -2 1   0 1 0   (1)
8.3066 2.5166 0.0478   7 4 2   1 3 2   -2 1 1   (1)
8.3066 2.6099 0.0461   7 4 2   1 1 3   2 1 0   (1)
8.3066 2.6757 0.0450   7 4 2   0 3 1   3 -1 0   (1)
8.3066 2.6838 0.0449   7 4 2   -4 0 1   0 1 1   (1)
8.3066 2.7479 0.0438   7 4 2   1 0 3   2 1 1   (1)
8.3066 2.7584 0.0436   7 4 2   1 2 3   0 1 2   (1)
8.3066 2.7819 0.0433   7 2 4   -3 1 1   0 2 3   (1)
8.3066 2.8412 0.0424   7 2 4   2 1 -2   1 0 3   (1)
8.3066 2.8641 0.0420   7 4 2   4 -1 1   0 1 0   (1)
8.3066 2.8717 0.0419   7 2 4   4 3 0   1 0 1   (1)
8.3066 2.9242 0.0412   7 2 4   0 3 1   2 0 1   (1)
8.3066 2.9415 0.0409   7 4 2   4 -1 0   0 3 1   (1)
8.3066 2.9903 0.0403   7 4 2   1 4 1   1 -1 0   (1)
8.3066 3.0479 0.0395   7 4 2   0 3 2   -3 1 1   (1)
8.3066 3.1045 0.0388   7 4 2   5 0 3   1 1 0   (1)
8.3066 3.1323 0.0384   7 4 2   3 3 -2   2 1 1   (1)
8.3066 3.1347 0.0384   7 4 2   1 -1 3   3 1 2   (1)
8.3066 3.1531 0.0382   7 2 4   1 3 3   3 0 1   (1)
8.3066 3.1600 0.0381   7 4 2   -1 0 3   2 1 0   (1)
8.3066 3.1874 0.0378   7 4 2   0 2 3   1 1 1   (1)
8.3066 3.1965 0.0377   4 2 -7   0 1 5   1 1 1   (1)
8.3066 3.2078 0.0375   7 2 4   2 3 -1   1 1 0   (1)
8.3066 3.2615 0.0369   7 4 2   1 1 -3   2 1 2   (1)
8.3066 3.2771 0.0367   7 2 4   3 1 -2   0 0 1   (1)
8.3066 3.2969 0.0365   4 -7 2   1 1 3   0 1 1   (1)
8.3066 3.3144 0.0363   7 4 2   -4 1 1   0 3 2   (1)
8.3066 3.3471 0.0360   7 2 4   2 4 1   0 1 0   (1)
8.3066 3.3665 0.0358   7 2 4   3 3 -1   1 0 1   (1)
8.3066 3.3986 0.0354   7 2 4   -3 2 1   0 1 1   (1)
8.3066 3.4515 0.0349   7 2 4   2 -3 1   0 1 0   (1)
8.3066 3.4745 0.0346   7 4 2   2 0 -3   2 1 0   (1)
8.3066 3.4995 0.0344   7 4 2   5 1 -2   1 1 1   (1)
8.3066 3.5078 0.0343   7 4 2   0 4 1   -2 1 0   (1)
8.3066 3.5733 0.0337   7 2 4   1 4 1   2 -1 1   (1)
8.3066 3.5814 0.0336   7 4 2   1 2 -3   2 1 1   (1)
8.3066 3.5975 0.0335   7 4 2   2 -3 0   5 0 1   (1)
8.3066 3.5995 0.0334   7 4 2   4 -1 3   1 1 0   (1)
8.3066 3.6455 0.0330   7 4 2   -1 2 3   3 1 0   (1)
8.3066 3.6929 0.0326   7 2 -4   1 3 2   0 1 1   (1)
8.3066 3.7105 0.0324   7 4 2   2 -3 1   3 0 1   (1)
8.3066 3.7164 0.0324   4 -7 2   0 6 1   1 1 1   (1)
8.3066 3.7397 0.0322   7 4 2   4 -2 1   0 1 0   (1)
8.3066 3.7417 0.0322   7 4 2   -2 3 1   3 2 1   (12)
8.3066 3.7629 0.0320   7 4 2   0 -4 1   3 1 1   (1)
8.3066 3.7859 0.0318   7 2 4   3 -3 2   2 2 1   (1)
8.3066 3.8486 0.0313   7 4 2   1 5 1   -1 1 0   (1)
8.3066 3.8617 0.0312   7 2 4   2 3 -2   1 0 1   (1)
8.3066 3.8935 0.0309   7 2 4   2 -1 5   2 1 0   (1)
8.3066 3.8991 0.0309   7 4 2   -4 1 2   0 1 1   (1)
8.3066 3.9287 0.0306   7 4 2   1 5 0   3 0 1   (1)
8.3066 3.9946 0.0301   7 4 -2   4 2 3   2 1 1   (1)
8.3066 4.0090 0.0300   7 4 2   1 5 2   3 2 1   (1)
8.3066 4.0253 0.0299   7 4 2   4 1 -3   2 1 0   (1)
8.3066 4.0307 0.0299   4 2 -7   4 1 1   1 0 2   (1)
8.3066 4.0593 0.0297   7 2 4   2 2 -3   2 1 0   (1)
8.3066 4.0683 0.0296   7 2 4   1 -3 3   1 1 0   (1)
8.3066 4.0949 0.0294   7 4 2   0 -1 4   2 1 1   (1)
8.3066 4.1161 0.0292   7 2 4   3 4 -1   1 1 0   (1)
8.3066 4.1231 0.0292   7 2 4   -2 3 2   3 0 1   (12)
8.3066 4.1529 0.0290   7 2 4   3 1 -3   0 0 1   (1)
8.3066 4.1581 0.0290   7 2 4   1 1 -4   3 1 1   (1)
8.3066 4.1997 0.0287   7 4 2   -1 1 4   3 1 -1   (1)
8.3066 4.2204 0.0285   7 -4 2   5 2 1   1 3 0   (1)
8.3066 4.2358 0.0284   7 4 -2   1 5 1   2 3 0   (1)
8.3066 4.2409 0.0284   7 4 2   4 0 -3   1 1 1   (1)
8.3066 4.2614 0.0283   7 4 2   2 2 5   2 1 0   (1)
8.3066 4.2767 0.0281   7 4 2   -3 3 1   3 2 1   (1)
8.3066 4.3171 0.0279   7 2 4   2 5 1   0 1 0   (1)
8.3066 4.3572 0.0276   7 4 2   0 5 1   1 -1 0   (1)
8.3066 4.3821 0.0275   7 4 2   0 3 4   -2 0 1   (1)
8.3066 4.3838 0.0275   7 4 -2   5 1 3   1 0 1   (1)
8.3066 4.4216 0.0272   7 2 4   2 -4 1   0 1 0   (1)
8.3066 4.4802 0.0269   7 2 4   3 5 0   2 1 1   (1)
8.3066 4.5445 0.0265   7 4 2   2 0 5   2 1 1   (1)
8.3066 4.5572 0.0264   4 -7 2   4 2 1   1 3 0   (1)
8.3066 4.5762 0.0263   4 -7 2   1 2 4   0 1 1   (1)
8.3066 4.5905 0.0262   7 4 2   2 -3 3   1 1 0   (1)
8.3066 4.6141 0.0261   7 2 4   -3 3 2   0 1 1   (1)
8.3066 4.6157 0.0261   7 4 2   4 -3 1   0 1 0   (1)
8.3066 4.6516 0.0259   7 2 4   -3 2 3   3 1 2   (1)
8.3066 4.6656 0.0258   7 2 4   -2 3 3   4 0 1   (1)
8.3066 4.6703 0.0258   7 4 -2   1 4 3   0 1 1   (1)
8.3066 4.7135 0.0255   7 4 2   1 6 1   4 1 1   (1)
8.3066 4.7258 0.0255   7 -2 4   1 2 5   0 1 2   (1)
8.3066 4.7686 0.0252   4 -7 2   4 1 3   1 2 1   (1)
8.3066 4.7761 0.0252   7 4 2   1 3 5   0 1 2   (1)
8.3066 4.8124 0.0250   7 4 2   0 1 5   2 1 0   (1)
8.3066 4.8169 0.0250   7 4 2   3 7 0   3 1 1   (1)
8.3066 4.8529 0.0248   7 4 2   0 4 -3   1 1 0   (1)
8.3066 4.9196 0.0245   7 2 -4   2 5 1   0 2 1   (1)
8.3066 4.9241 0.0244   4 2 -7   1 2 6   1 1 1   (1)
8.3066 4.9299 0.0244   7 2 4   0 5 2   3 -1 1   (1)
8.3066 4.9432 0.0244   7 2 -4   3 5 1   0 3 2   (1)
8.3066 4.9768 0.0242   7 4 2   0 -3 4   1 0 1   (1)
8.3066 4.9826 0.0242   7 2 4   -3 4 1   1 1 1   (1)
8.3066 4.9942 0.0241   7 4 2   4 1 6   2 1 1   (1)
8.3066 5.0246 0.0240   7 2 4   1 1 -5   1 0 3   (1)
8.3066 5.0289 0.0239   7 2 4   3 1 -4   0 0 1   (1)
8.3066 5.0476 0.0239   7 4 2   0 -1 5   1 0 3   (1)
8.3066 5.0805 0.0237   7 2 4   1 -1 6   3 1 1   (1)
8.3066 5.0862 0.0237   7 4 2   1 -4 3   1 1 0   (1)
8.3066 5.0933 0.0236   7 2 4   -5 3 1   3 0 1   (1)
8.3066 5.1146 0.0235   7 4 2   -4 2 3   0 1 1   (1)
8.3066 5.1274 0.0235   7 2 4   -1 5 1   2 0 1   (1)
8.3066 5.1316 0.0235   7 4 2   -5 3 0   0 4 1   (1)
8.3066 5.1612 0.0233   7 -2 4   2 3 5   1 1 2   (1)
8.3066 5.1878 0.0232   7 2 4   -4 2 3   3 1 2   (1)
8.3066 5.1948 0.0232   7 2 4   1 -5 1   2 2 1   (1)
8.3066 5.2156 0.0231   7 4 2   0 6 1   -1 1 0   (1)
8.3066 5.2378 0.0230   7 2 4   2 0 7   3 1 0   (1)
8.3066 5.2489 0.0229   7 4 2   2 -3 4   4 0 3   (1)
8.3066 5.2874 0.0228   7 2 4   2 6 1   0 1 0   (1)
8.3066 5.2983 0.0227   7 4 2   2 3 6   0 1 3   (1)
8.3066 5.3147 0.0227   7 2 4   -1 5 2   0 2 1   (1)
8.3066 5.3365 0.0226   7 4 2   2 -5 0   4 1 1   (1)
8.3066 5.3487 0.0225   7 4 2   1 5 -3   1 1 0   (1)
8.3066 5.3636 0.0224   7 4 2   -2 0 5   2 1 0   (1)
8.3066 5.3798 0.0224   7 4 2   0 2 -5   2 1 1   (1)
8.3066 5.3919 0.0223   7 2 4   2 -5 1   0 1 0   (1)
8.3066 5.4120 0.0222   7 4 2   -4 1 4   1 1 1   (1)
8.3066 5.4440 0.0221   7 4 2   0 5 4   -1 1 1   (1)
8.3066 5.4560 0.0221   7 2 4   2 1 -5   3 1 0   (1)
8.3066 5.4759 0.0220   7 4 2   0 6 -1   3 1 1   (1)
8.3066 5.4918 0.0219   7 4 2   4 -4 1   0 1 0   (1)
8.3066 5.5076 0.0219   7 4 2   1 1 6   2 1 -1   (1)
8.3066 5.5508 0.0217   7 4 2   2 7 -1   1 -2 1   (1)
8.3066 5.5821 0.0216   7 4 2   0 -5 3   1 1 0   (1)
8.3066 5.5860 0.0216   7 4 2   0 4 5   3 1 0   (1)
8.3066 5.6170 0.0214   7 2 4   -4 1 4   0 1 3   (1)
8.3066 5.6222 0.0214   7 4 2   -5 2 3   4 1 0   (1)
8.3066 5.6337 0.0214   4 2 -7   3 5 1   1 2 1   (1)
8.3066 5.6633 0.0213   7 4 2   1 3 6   1 0 -1   (1)
8.3066 5.6786 0.0212   7 4 2   3 0 -5   2 1 0   (1)
8.3066 5.7053 0.0211   7 4 2   -4 3 3   5 1 0   (1)
8.3066 5.7142 0.0211   7 2 4   4 4 -3   1 -1 3   (1)
8.3066 5.7243 0.0210   4 2 -7   6 1 1   1 0 1   (1)
8.3066 5.7395 0.0210   7 4 2   2 -5 2   3 1 1   (1)
8.3066 5.7697 0.0209   7 4 2   0 1 6   1 1 3   (1)
8.3066 5.8148 0.0207   7 2 4   3 6 -1   2 -1 2   (1)
8.3066 5.8160 0.0207   7 2 4   1 -5 3   2 3 0   (1)
8.3066 5.8260 0.0207   7 4 2   0 -3 5   3 1 2   (1)
8.3066 5.8297 0.0207   7 2 4   -3 4 3   0 1 1   (1)
8.3066 5.8446 0.0206   7 4 2   2 6 -3   1 1 0   (1)
8.3066 5.8496 0.0206   7 -4 2   4 1 6   0 2 3   (1)
8.3066 5.8558 0.0206   4 -7 2   1 3 5   0 1 1   (1)
8.3066 5.8595 0.0205   4 2 -7   1 4 5   0 1 2   (1)
8.3066 5.8854 0.0205   7 4 2   1 -3 5   1 0 1   (1)
8.3066 5.8940 0.0204   7 4 2   1 -1 6   2 1 1   (1)
8.3066 5.9050 0.0204   7 2 4   3 1 -5   0 0 1   (1)
8.3066 5.9149 0.0204   4 2 -7   5 1 3   1 0 2   (1)
8.3066 5.9332 0.0203   7 4 2   2 5 -4   1 0 1   (1)
8.3066 5.9442 0.0203   7 4 2   3 3 -5   1 0 3   (1)
8.3066 5.9927 0.0201   7 -4 2   2 3 5   1 1 2   (1)
8.3066 6.0060 0.0200   7 4 -2   0 1 6   3 2 1   (1)
8.3066 6.0253 0.0200   7 4 -2   4 0 5   3 1 1   (1)
8.3066 6.0637 0.0199   7 4 -2   1 5 4   0 1 1   (1)
8.3066 6.0780 0.0198   7 4 -2   1 6 3   1 1 0   (1)
8.3066 6.0792 0.0198   7 4 2   0 7 1   2 -3 0   (1)
8.3066 6.0887 0.0198   4 -7 2   3 2 5   0 2 1   (1)
8.3066 6.1350 0.0196   7 2 4   3 2 -5   3 1 1   (1)
8.3066 6.1456 0.0196   7 4 2   3 -3 5   1 2 -1   (1)
8.3066 6.1491 0.0196   4 2 -7   4 1 5   1 0 4   (1)
8.3066 6.1538 0.0196   7 4 2   -3 2 5   1 1 1   (1)
8.3066 6.1632 0.0195   7 4 2   1 1 -6   2 1 3   (1)
8.3066 6.1644 0.0195   7 4 2   2 -5 3   2 0 1   (12)
8.3066 6.1773 0.0195   7 4 2   0 7 2   1 3 1   (1)
8.3066 6.2299 0.0193   7 4 2   5 1 -5   2 1 0   (1)
8.3066 6.2380 0.0193   7 4 2   -2 6 1   2 3 1   (1)
8.3066 6.2577 0.0192   7 2 4   2 7 1   0 1 0   (1)
8.3066 6.2612 0.0192   7 4 -2   2 4 5   0 1 2   (1)
8.3066 6.2797 0.0192   7 2 4   4 7 0   2 1 1   (1)
8.3066 6.2889 0.0191   7 4 2   1 4 -5   3 1 2   (1)
8.3066 6.3211 0.0190   4 2 -7   1 4 6   2 3 1   (1)
8.3066 6.3303 0.0190   7 4 2   1 7 -2   2 0 1   (1)
8.3066 6.3406 0.0190   7 2 -4   0 1 7   2 1 2   (1)
8.3066 6.3440 0.0190   7 4 2   3 0 7   2 1 1   (1)
8.3066 6.3623 0.0189   7 2 4   2 -6 1   0 1 0   (1)
8.3066 6.3679 0.0189   7 4 2   4 -5 1   0 1 0   (1)
8.3066 6.3986 0.0188   7 2 4   -2 6 1   0 3 1   (1)
8.3066 6.4223 0.0187   7 4 2   0 7 3   3 2 1   (1)
8.3066 6.4527 0.0187   7 2 4   2 7 0   1 -2 1   (1)
8.3066 6.4662 0.0186   7 4 2   1 2 7   2 1 0   (1)
8.3066 6.4763 0.0186   7 2 4   1 7 1   2 -2 1   (1)
8.3066 6.4796 0.0186   7 2 -4   1 5 4   0 1 1   (1)
8.3066 6.4930 0.0185   4 2 -7   5 4 2   1 1 2   (1)
8.3066 6.5031 0.0185   7 2 4   3 3 -5   2 0 3   (1)
8.3066 6.5298 0.0184   7 2 4   -3 3 5   3 1 2   (1)
8.3066 6.5563 0.0184   7 4 2   -3 3 5   3 1 0   (1)
8.3066 6.5740 0.0183   7 4 -2   2 7 3   1 1 0   (1)
8.3066 6.5828 0.0183   4 -7 2   7 1 1   1 1 0   (1)
8.3066 6.5993 0.0182   7 -2 4   3 6 1   2 1 1   (1)
8.3066 6.6037 0.0182   7 4 2   1 0 7   2 1 2   (1)
8.3066 6.6387 0.0181   7 2 4   2 5 -4   2 -1 3   (1)
8.3066 6.6518 0.0181   7 2 4   0 5 6   -1 1 1   (1)
8.3066 6.6822 0.0180   7 2 -4   0 2 7   1 1 2   (1)
8.3066 6.6909 0.0180   7 4 2   -4 5 2   3 2 1   (1)
8.3066 6.7039 0.0180   7 2 4   -1 2 7   1 1 3   (1)
6.7082 8.3066 0.0179   5 4 2   -7 5 0   1 3 1   (1)
8.3066 6.7136 0.0179   7 4 2   4 -1 7   2 2 -1   (1)
8.3066 6.7298 0.0179   7 4 2   1 3 -6   2 1 1   (1)
8.3066 6.7309 0.0179   7 4 2   0 1 7   3 2 3   (1)
8.3066 6.7556 0.0178   7 2 4   -3 6 1   3 -1 1   (1)
8.3066 6.7652 0.0178   7 4 2   1 -7 1   3 0 1   (1)
8.3066 6.7813 0.0178   7 2 4   3 1 -6   0 0 1   (1)
8.3066 6.7941 0.0177   7 4 2   2 -3 6   1 0 1   (1)
8.3066 6.7983 0.0177   7 2 4   0 4 7   3 1 2   (1)
8.3066 6.8366 0.0176   7 2 4   3 5 -4   1 0 1   (1)
8.3066 6.8419 0.0176   7 4 2   1 5 -5   1 0 1   (1)
8.3066 6.8673 0.0175   7 2 -4   4 3 5   0 1 4   (1)
8.3066 6.8704 0.0175   7 -2 4   4 6 1   1 3 0   (1)
8.3066 6.8957 0.0175   7 4 2   -2 3 6   1 1 1   (1)
8.3066 6.9428 0.0173   7 4 2   0 3 7   1 0 -1   (1)
